NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
nssf,0.00%,7.453MiB / 15.55GiB,8.74kB / 2.49kB,0B / 12.3kB,4
udr,0.00%,8.07MiB / 15.55GiB,39.2kB / 3.23kB,0B / 16.4kB,4
smf,0.01%,30.09MiB / 15.55GiB,14.8kB / 6.26kB,0B / 147kB,40
udm,0.00%,7.605MiB / 15.55GiB,11.4kB / 4.59kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,12.2kB / 3.75kB,4.1kB / 12.3kB,4
nrf,0.00%,8.832MiB / 15.55GiB,38.5kB / 31.6kB,0B / 8.19kB,4
mongo,0.18%,140.8MiB / 15.55GiB,10.1kB / 61.4kB,8.19kB / 274kB,27
21:19:41.523
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,13.5kB / 5.83kB,0B / 20.5kB,4
upf,0.00%,22.28MiB / 15.55GiB,7.57kB / 467B,0B / 16.4kB,4
pcf,0.00%,8.367MiB / 15.55GiB,42.2kB / 5.44kB,0B / 16.4kB,4
bsf,0.00%,7.504MiB / 15.55GiB,8.47kB / 2.15kB,0B / 16.4kB,4
nssf,0.00%,7.453MiB / 15.55GiB,8.74kB / 2.49kB,0B / 12.3kB,4
udr,0.00%,8.07MiB / 15.55GiB,39.2kB / 3.23kB,0B / 16.4kB,4
smf,0.01%,30.09MiB / 15.55GiB,14.8kB / 6.26kB,0B / 147kB,40
udm,0.00%,7.605MiB / 15.55GiB,11.4kB / 4.59kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,12.2kB / 3.75kB,4.1kB / 12.3kB,4
nrf,0.00%,8.832MiB / 15.55GiB,38.5kB / 31.6kB,0B / 8.19kB,4
mongo,0.30%,140.8MiB / 15.55GiB,10.1kB / 61.4kB,8.19kB / 274kB,27
21:19:42.559
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,13.5kB / 5.83kB,0B / 20.5kB,4
upf,0.00%,22.28MiB / 15.55GiB,7.57kB / 467B,0B / 16.4kB,4
pcf,0.00%,8.367MiB / 15.55GiB,42.2kB / 5.44kB,0B / 16.4kB,4
bsf,0.00%,7.504MiB / 15.55GiB,8.47kB / 2.15kB,0B / 16.4kB,4
nssf,0.00%,7.453MiB / 15.55GiB,8.81kB / 2.49kB,0B / 12.3kB,4
udr,0.00%,8.07MiB / 15.55GiB,39.3kB / 3.23kB,0B / 16.4kB,4
smf,0.01%,30.09MiB / 15.55GiB,14.8kB / 6.26kB,0B / 147kB,40
udm,0.00%,7.605MiB / 15.55GiB,11.4kB / 4.59kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,12.2kB / 3.75kB,4.1kB / 12.3kB,4
nrf,0.00%,8.832MiB / 15.55GiB,38.5kB / 31.6kB,0B / 8.19kB,4
mongo,0.45%,140.8MiB / 15.55GiB,10.1kB / 61.4kB,8.19kB / 291kB,27
21:19:43.623
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,13.6kB / 5.83kB,0B / 20.5kB,4
upf,0.00%,22.28MiB / 15.55GiB,7.72kB / 467B,0B / 16.4kB,4
pcf,0.03%,8.367MiB / 15.55GiB,42.5kB / 5.79kB,0B / 16.4kB,4
bsf,0.00%,7.504MiB / 15.55GiB,8.56kB / 2.15kB,0B / 16.4kB,4
nssf,0.04%,7.457MiB / 15.55GiB,9.13kB / 2.84kB,0B / 12.3kB,4
udr,0.03%,8.074MiB / 15.55GiB,39.6kB / 3.58kB,0B / 16.4kB,4
smf,0.04%,30.09MiB / 15.55GiB,15.2kB / 6.6kB,0B / 147kB,40
udm,0.03%,7.605MiB / 15.55GiB,11.7kB / 4.94kB,0B / 12.3kB,4
ausf,0.03%,7.602MiB / 15.55GiB,12.6kB / 4.1kB,4.1kB / 12.3kB,4
nrf,0.10%,8.883MiB / 15.55GiB,40.7kB / 33kB,0B / 8.19kB,4
mongo,0.18%,140.8MiB / 15.55GiB,10.2kB / 61.4kB,8.19kB / 291kB,27
21:19:44.653
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.03%,8.746MiB / 15.55GiB,13.9kB / 6.17kB,0B / 20.5kB,4
upf,0.00%,22.28MiB / 15.55GiB,7.72kB / 467B,0B / 16.4kB,4
pcf,0.00%,8.367MiB / 15.55GiB,42.5kB / 5.79kB,0B / 16.4kB,4
bsf,0.03%,7.508MiB / 15.55GiB,8.79kB / 2.49kB,0B / 16.4kB,4
nssf,0.00%,7.457MiB / 15.55GiB,9.13kB / 2.84kB,0B / 12.3kB,4
udr,0.00%,8.074MiB / 15.55GiB,39.6kB / 3.58kB,0B / 16.4kB,4
smf,0.01%,30.09MiB / 15.55GiB,15.2kB / 6.6kB,0B / 147kB,40
udm,0.00%,7.605MiB / 15.55GiB,11.7kB / 4.94kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,12.6kB / 4.1kB,4.1kB / 12.3kB,4
nrf,0.04%,8.895MiB / 15.55GiB,41.4kB / 33.5kB,0B / 8.19kB,4
mongo,0.17%,140.8MiB / 15.55GiB,10.2kB / 61.4kB,8.19kB / 291kB,27
21:19:45.693
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,14kB / 6.17kB,0B / 20.5kB,4
upf,0.00%,22.28MiB / 15.55GiB,7.83kB / 467B,0B / 16.4kB,4
pcf,0.00%,8.367MiB / 15.55GiB,42.6kB / 5.79kB,0B / 16.4kB,4
bsf,0.00%,7.508MiB / 15.55GiB,8.97kB / 2.49kB,0B / 16.4kB,4
nssf,0.00%,7.457MiB / 15.55GiB,9.24kB / 2.84kB,0B / 12.3kB,4
udr,0.00%,8.074MiB / 15.55GiB,39.7kB / 3.58kB,0B / 16.4kB,4
smf,0.01%,30.09MiB / 15.55GiB,15.5kB / 6.6kB,0B / 147kB,40
udm,0.00%,7.605MiB / 15.55GiB,12kB / 4.94kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,12.8kB / 4.1kB,4.1kB / 12.3kB,4
nrf,0.00%,8.895MiB / 15.55GiB,41.6kB / 33.5kB,0B / 8.19kB,4
mongo,0.21%,140.8MiB / 15.55GiB,10.4kB / 61.4kB,8.19kB / 291kB,27
21:19:46.745
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,14.1kB / 6.17kB,0B / 20.5kB,4
